Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Khed,41,SC,Maharashtra,Navale Vidura Vithoba,Indian National Congress,"9,56,612","4,61,157",48.2 %,"1,90,408",41.30%,1991
Kheri,15,GEN,Uttar Pradesh [1947 - 1999],Gendan Lal Kanaujia,Bharatiya Janta Party,"9,48,884","4,55,275",48.0 %,"37,094",8.10%,1991
Khunti,52,ST,Bihar [1947 - 1999],Karia Munda,Bharatiya Janta Party,"7,56,843","3,51,120",46.4 %,"43,374",12.40%,1991
Khurja,77,SC,Uttar Pradesh [1947 - 1999],Roshan,Janata Dal,"9,65,189","4,70,258",48.7 %,"23,217",4.90%,1991
Kishanganj,23,GEN,Bihar [1947 - 1999],Syed Shahabuddin,Janata Dal,"9,63,577","5,34,541",55.5 %,"79,628",14.90%,1991
Kodarma,45,GEN,Bihar [1947 - 1999],Mumtaz Ansari,Janata Dal,"9,67,408","4,98,565",51.5 %,"14,122",2.80%,1991
Kokrajhar,5,ST,Assam,Satyendra Nath Brohmo Choudhury,Independent,"9,87,369","8,34,868",84.6 %,"2,63,139",31.50%,1991
Kolaba,3,GEN,Maharashtra,A.R. Antulay,Indian National Congress,"9,84,558","5,48,256",55.7 %,"39,706",7.20%,1991
Kolar,10,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,"9,57,458","6,03,518",63.0 %,"62,377",10.30%,1991
Kolhapur,48,GEN,Maharashtra,Gaikwad Udaysingrao Nanasaheb,Indian National Congress,"9,05,091","4,24,742",46.9 %,"1,94,331",45.80%,1991
Kopargaon,40,GEN,Maharashtra,Kale Shankarrao Deoram,Indian National Congress,"8,76,195","5,00,267",57.1 %,"1,72,457",34.50%,1991
Koppal,4,SC,Karnataka,Anwari Basavaraj Patil,Indian National Congress,"10,55,094","5,70,345",54.1 %,"11,197",2.00%,1991
Koraput,12,ST,Orissa,Giridhar Gomango,Indian National Congress,"9,01,583","3,65,754",40.6 %,"1,41,594",38.70%,1991
Kota,14,GEN,Rajasthan,Dau Dayal Joshi,Bharatiya Janta Party,"9,89,592","4,32,489",43.7 %,"60,403",14.00%,1991
Kottayam,13,GEN,Kerala,Ramesh Chennithala,Indian National Congress,"9,38,252","7,13,707",76.1 %,"62,622",8.80%,1991
Krishnagar,11,GEN,West Bengal,Ajoy Mukhopadhyay,Communist Party Of India (MARXIST),"9,28,523","7,64,555",82.3 %,"59,575",7.80%,1991
Krishnagiri,14,GEN,Tamil Nadu,Rama Murthy K.,Indian National Congress,"9,54,816","6,11,500",64.0 %,"2,13,114",34.90%,1991
Kurnool,26,GEN,Andhra Pradesh,K. Vijaya Bhaskara Reddy,Indian National Congress,"9,73,112","6,06,374",62.3 %,"52,467",8.70%,1991
Kurukshetra,2,GEN,Haryana,Tara Singh,Indian National Congress,"9,27,976","6,56,693",70.8 %,"30,025",4.60%,1991
Kutch,1,SC,Gujarat,Patel Harilal Nanji,Indian National Congress,"7,34,784","3,55,063",48.3 %,"33,003",9.30%,1991
Ladakh,4,GEN,Jammu & Kashmir,Data Not Available,-,-,-,-,-,-,1991
Lakhimpur,14,GEN,Assam,Bolin Kuli,Indian National Congress,"8,87,318","6,42,536",72.4 %,"61,360",9.50%,1991
Lakshadweep,1,ST,Lakshadweep,P.M. Sayeed,Indian National Congress,"31,665","25,449",80.4 %,281,1.10%,1991
Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Ram Badan,Janata Dal,"10,48,636","4,77,071",45.5 %,"9,638",2.00%,1991
Latur,35,GEN,Maharashtra,Patil Shivraj Vishwanath,Indian National Congress,"9,93,685","5,65,679",56.9 %,"58,718",10.40%,1991
Lohardaga,53,ST,Bihar [1947 - 1999],Lalit Oraon,Bharatiya Janta Party,"8,28,306","3,83,428",46.3 %,"54,516",14.20%,1991
Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bharatiya Janta Party,"11,88,127","3,94,817",33.2 %,"1,17,303",29.70%,1991
Ludhiana,9,SC,Punjab,Gurcharan Singh Galib,Indian National Congress,"12,02,152","2,01,686",16.8 %,"53,448",26.50%,1991
Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Sheo Saran Verma,Janata Dal,"9,68,876","4,50,070",46.5 %,"32,539",7.20%,1991
Machilipatnam,12,GEN,Andhra Pradesh,K.P. Reddaiah,Telugu Desam,"9,08,947","6,19,254",68.1 %,"27,322",4.40%,1991
Madhepura,21,GEN,Bihar [1947 - 1999],Sharad Yadav,Janata Dal,"9,93,738","7,04,100",70.9 %,"2,85,377",40.50%,1991
Madhubani,13,GEN,Bihar [1947 - 1999],Bhogendra Jha,Communist Party Of India,"9,87,053","6,49,311",65.8 %,"80,091",12.30%,1991
Madras Central,2,GEN,Tamil Nadu,Anbarasu Era,Indian National Congress,"10,34,301","5,61,468",54.3 %,"1,03,271",18.40%,1991
Madras North,1,SC,Tamil Nadu,D. Pandian,Indian National Congress,"13,58,695","7,49,052",55.1 %,"1,18,518",15.80%,1991
Madras South,3,GEN,Tamil Nadu,R. Sridharan,All India Anna Dravida Munnetra Kazhagam,"14,10,540","7,50,230",53.2 %,"1,62,528",21.70%,1991
Madurai,24,GEN,Tamil Nadu,Ram Babu A.G.S.,Indian National Congress,"11,37,905","6,46,431",56.8 %,"2,42,160",37.50%,1991
Mahabubnagar,29,GEN,Andhra Pradesh,Mallikarjun,Indian National Congress,"10,39,726","6,05,637",58.3 %,"32,162",5.30%,1991
Maharajganj,6,GEN,Bihar [1947 - 1999],Girija Devi (W),Janata Dal,"10,32,512","6,53,587",63.3 %,"24,335",3.70%,1991
Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Pankaj Choudhari,Bharatiya Janta Party,"8,97,007","5,12,942",57.2 %,"33,727",6.60%,1991
Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Pawan Diwan,Indian National Congress,"9,07,199","4,28,714",47.3 %,"21,479",5.00%,1991
Mahendragarh,7,GEN,Haryana,Ram Singh,Indian National Congress,"10,63,934","6,47,021",60.8 %,"71,988",11.10%,1991
Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Udai Pratap Singh,Jharkhand Party,"8,77,588","4,45,269",50.7 %,"12,165",2.70%,1991
Malda,7,GEN,West Bengal,Abdul Barkat Ataul Ghani Khan Choudhary,Indian National Congress,"9,22,467","7,22,873",78.4 %,"1,820",0.30%,1991
Malegaon,13,GEN,Maharashtra,Kahandole Zamru Manglu,Indian National Congress,"9,24,991","4,10,886",44.4 %,"84,300",20.50%,1991
Mandi,2,GEN,Himachal Pradesh,Sukh Ram,Indian National Congress,"7,71,146","4,72,705",61.3 %,"26,627",5.60%,1991
Mandla,24,ST,Madhya Pradesh [1947 - 1999],Mohan Lal,Indian National Congress,"8,18,990","2,69,725",32.9 %,"87,673",32.50%,1991
Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Laxminarain Pandey,Bharatiya Janta Party,"10,17,532","6,54,564",64.3 %,"6,983",1.10%,1991
Mandvi,25,GEN,Gujarat,Gamit Chhitubhai Devjibhai,Indian National Congress,"9,03,980","4,35,674",48.2 %,"1,06,016",24.30%,1991
Mandya,14,GEN,Karnataka,G. Madegowda,Indian National Congress,"9,70,275","6,23,832",64.3 %,"95,347",15.30%,1991
Mangaldoi,8,GEN,Assam,Prbin Deka,Indian National Congress,"9,56,170","7,24,300",75.8 %,"18,013",2.50%,1991
Mangalore,17,GEN,Karnataka,V. Dhananjaya Kumar,Bharatiya Janta Party,"9,37,957","5,59,417",59.6 %,"35,005",6.30%,1991
Manjeri,5,GEN,Kerala,E. Ahamed,Muslim Leage,"10,53,645","7,42,123",70.4 %,"89,323",12.00%,1991
Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Swami Sakshi Ji,Bharatiya Janta Party,"9,53,944","4,74,770",49.8 %,"15,512",3.30%,1991
Mathurapur,16,GEN,West Bengal,Radhika Ranjan Pramanick,Communist Party Of India (MARXIST),"9,02,852","7,37,795",81.7 %,"19,746",2.70%,1991
Mavelikara,16,SC,Kerala,P.J. Kurian,Indian National Congress,"8,62,770","6,28,846",72.9 %,"25,488",4.10%,1991
Mayiladuturai,29,SC,Tamil Nadu,Mani Shankar Aiyar,Indian National Congress,"9,02,685","6,41,566",71.1 %,"1,61,937",25.20%,1991
Mayurbhanj,1,GEN,Orissa,Bhagey Gobardhan,Indian National Congress,"8,23,829","3,98,446",48.4 %,"49,495",12.40%,1991
Medak,33,GEN,Andhra Pradesh,N. Baga Reddy,Indian National Congress,"10,58,689","6,37,896",60.3 %,"1,40,150",22.00%,1991
Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Data Not Available,-,-,-,-,-,-,1991
Mehsana,12,GEN,Gujarat,A.K. Patel,Bharatiya Janta Party,"10,13,741","4,70,990",46.5 %,"82,022",17.40%,1991
Midnapore,32,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,"9,60,598","7,34,499",76.5 %,"1,63,523",22.30%,1991
Miryalguda,42,GEN,Andhra Pradesh,Bheemireddy Narsimha Reddy,Communist Party Of India (MARXIST),"10,95,544","7,31,147",66.7 %,"8,263",1.10%,1991
Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Birendra,Bharatiya Janta Party,"10,34,077","4,69,771",45.4 %,"20,605",4.40%,1991
Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Ram Lal Rahi,Indian National Congress,"8,85,711","4,77,491",53.9 %,"19,399",4.10%,1991
Mizoram,1,ST,Mizoram,C. Silvera,Indian National Congress,"4,14,412","2,42,999",58.6 %,"9,593",3.90%,1991
Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Chhotey Lal,Bharatiya Janta Party,"8,92,359","4,01,716",45.0 %,"10,212",2.50%,1991
Monghyr,32,GEN,Bihar [1947 - 1999],Brahmanand Mandal,Communist Party Of India,"10,25,444","6,87,063",67.0 %,"1,10,984",16.20%,1991
Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Gulam Mohammed Khan,Janata Dal,"9,55,294","5,07,415",53.1 %,"13,978",2.80%,1991
Morena,1,SC,Madhya Pradesh [1947 - 1999],Barelal Jatav,Indian National Congress,"10,03,757","3,27,645",32.6 %,"16,745",5.10%,1991
Mormugao,2,GEN,Goa,Falerio Edurado Martinho,Indian National Congress,"4,09,086","1,64,919",40.3 %,"59,238",35.90%,1991
Motihari,3,GEN,Bihar [1947 - 1999],Kamla Mishra Madhukar,Communist Party Of India,"9,39,457","5,82,187",62.0 %,"98,052",16.80%,1991
Mukundapuram,10,GEN,Kerala,Savithri Lakshmanan (W),Indian National Congress,"9,74,881","7,57,831",77.7 %,"12,365",1.60%,1991
Murshidabad,9,GEN,West Bengal,Masudal Hossain Syed,Communist Party Of India (MARXIST),"9,95,079","8,06,098",81.0 %,"1,12,601",14.00%,1991
Muvattupuzha,12,GEN,Kerala,P.C. Thomas,Kerala Congress(M),"9,42,937","7,19,001",76.3 %,"98,103",13.60%,1991
Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Naresh Kumar Baliyan,Bharatiya Janta Party,"9,23,784","5,58,168",60.4 %,"95,651",17.10%,1991
Muzaffarpur,10,GEN,Bihar [1947 - 1999],George Fernandes,Janata Dal,"9,88,777","6,40,495",64.8 %,"50,047",7.80%,1991
Mysore,16,GEN,Karnataka,Chandraprabha Urs (W),Indian National Congress,"10,86,432","5,87,747",54.1 %,"16,882",2.90%,1991
Nabadwip,12,GEN,West Bengal,Asim Bala,Communist Party Of India (MARXIST),"10,94,215","9,12,199",83.4 %,"66,577",7.30%,1991
Nagaland,1,ST,Nagaland,Imchalemba,Nagaland Peoples Council,"8,14,836","6,28,015",77.1 %,"51,854",8.30%,1991
Nagapattinam,30,GEN,Tamil Nadu,Padma (W),Indian National Congress,"9,22,262","6,77,334",73.4 %,"25,716",3.80%,1991
Nagarkurnool,28,SC,Andhra Pradesh,Mallu Ravi,Indian National Congress,"10,01,633","6,00,608",60.0 %,"50,240",8.40%,1991
Nagaur,25,GEN,Rajasthan,Nathuram Mirdha,Indian National Congress,"10,86,787","5,94,744",54.7 %,"1,55,044",26.10%,1991
Nagercoil,39,GEN,Tamil Nadu,N. Dennis,Indian National Congress,"9,49,067","5,54,385",58.4 %,"1,24,913",22.50%,1991
Nagpur,23,GEN,Maharashtra,Meghe Dattaji Raghobaji,Indian National Congress,"12,40,382","6,02,232",48.6 %,"74,720",12.40%,1991
Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Balraj Pasi,Bharatiya Janta Party,"9,76,555","5,08,769",52.1 %,"11,429",2.20%,1991
Nalanda,34,GEN,Bihar [1947 - 1999],Vijoy Kumar Yadav,Communist Party Of India,"11,01,230","8,09,665",73.5 %,"91,871",11.30%,1991
Nalgonda,41,GEN,Andhra Pradesh,Bommagani Dharma Biksham,Communist Party Of India,"11,55,859","6,88,552",59.6 %,"68,577",10.00%,1991
Nanded,30,GEN,Maharashtra,Suryakants Patil (W),Indian National Congress,"10,82,908","5,00,142",46.2 %,"1,32,362",26.50%,1991
Nandurbar,15,GEN,Maharashtra,Gavit Manikrao Hodalya,Indian National Congress,"8,99,431","4,40,358",49.0 %,"1,68,890",38.40%,1991
Nandyal,27,GEN,Andhra Pradesh,Gangula Prathapa Reddy,Indian National Congress,"10,04,574","6,53,567",65.1 %,"1,86,766",28.60%,1991
Narasapur,10,GEN,Andhra Pradesh,Vijayakumar Raju Bhupathiraju,Telugu Desam,"9,33,575","6,24,696",66.9 %,"58,549",9.40%,1991
Narasaraopet,17,GEN,Andhra Pradesh,Kasu Venkata Krishna Reddy,Indian National Congress,"11,42,641","6,87,075",60.1 %,"62,616",9.10%,1991
Nashik,12,ST,Maharashtra,Pawar Vasant Niwrutti,Indian National Congress,"10,75,967","5,45,731",50.7 %,"1,41,366",25.90%,1991
Nawada,42,SC,Bihar [1947 - 1999],Prem Chand Ram,Communist Party Of India (MARXIST),"11,56,759","8,15,317",70.5 %,"1,01,593",12.50%,1991
Nellore,19,SC,Andhra Pradesh,Kudumula Padmasre (W),Indian National Congress,"10,67,398","6,05,540",56.7 %,"44,857",7.40%,1991
New Delhi,1,GEN,Delhi [1977 Onwards],Lal Krishna Advani,Bharatiya Janta Party,"4,56,073","2,18,283",47.9 %,"1,589",0.70%,1991
Nilgiris,18,GEN,Tamil Nadu,Prabhu R.,Indian National Congress,"11,03,713","6,86,963",62.2 %,"1,80,802",26.30%,1991
Nizamabad,34,GEN,Andhra Pradesh,Gaddam Ganga Reddy,Telugu Desam,"9,64,124","5,95,243",61.7 %,"68,348",11.50%,1991
Nowgong,10,GEN,Assam,Muhiram Saikia,Asom Gana Parisad,"8,78,733","6,60,626",75.2 %,"12,917",2.00%,1991
Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,"8,80,570","3,98,968",45.3 %,"56,527",14.20%,1991
Ongole,18,GEN,Andhra Pradesh,Mangunta Subbarama Reddy,Indian National Congress,"11,08,514","6,80,599",61.4 %,"39,330",5.80%,1991
Osmanabad,36,GEN,Maharashtra,Kamble Arvind Tulshiram,Indian National Congress,"8,84,277","4,63,561",52.4 %,"83,055",17.90%,1991
Ottapalam,8,GEN,Kerala,K.R. Narayanan,Indian National Congress,"9,81,499","6,86,327",69.9 %,"15,088",2.20%,1991
Outer Delhi,3,GEN,Delhi [1977 Onwards],Sajjan Kumar,Indian National Congress,"16,86,074","7,72,349",45.8 %,"86,791",11.20%,1991
Outer Manipur,2,ST,Manipur,Meijinlung Kamson,Indian National Congress,"6,20,646","4,82,286",77.7 %,"19,369",4.00%,1991
Padrauna,40,GEN,Uttar Pradesh [1947 - 1999],Ramnagina Mishra,Bharatiya Janta Party,"9,33,126","4,89,305",52.4 %,"57,808",11.80%,1991
Palamau,54,SC,Bihar [1947 - 1999],Ram Deo Ram,Bharatiya Janta Party,"9,15,831","3,50,572",38.3 %,"20,242",5.80%,1991
Palani,22,GEN,Tamil Nadu,Senapathi Gounder A.,Indian National Congress,"10,30,799","6,71,622",65.2 %,"2,60,142",38.70%,1991
Palghat,7,GEN,Kerala,V.S. Vijayaraghavan,Indian National Congress,"9,82,228","7,02,860",71.6 %,"15,768",2.20%,1991
Pali,21,GEN,Rajasthan,Gumanmal Lodha,Bharatiya Janta Party,"9,86,219","4,71,378",47.8 %,"19,301",4.10%,1991
Panaji,1,GEN,Goa,Prabhu Zantye Harish Narayan,Indian National Congress,"3,45,233","1,54,808",44.8 %,"57,444",37.10%,1991
Pandharpur,38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,"9,98,122","4,81,168",48.2 %,"2,34,808",48.80%,1991
Panskura,29,SC,West Bengal,Gita Mukherjee (W),Communist Party Of India,"8,71,446","7,23,796",83.1 %,"1,26,300",17.40%,1991
Parbhani,31,GEN,Maharashtra,Deshmukh Ashokrao Anandrao,Shiv Sena,"9,59,377","4,44,485",46.3 %,"20,161",4.50%,1991
Parvathipuram,2,ST,Andhra Pradesh,Vijayaramaraju Satrucharla,Indian National Congress,"8,10,069","5,42,247",66.9 %,"49,512",9.10%,1991
Patan,13,GEN,Gujarat,Mahesh Kanodiya,Bharatiya Janta Party,"9,37,221","3,92,956",41.9 %,"44,509",11.30%,1991
Patiala,8,SC,Punjab,Sant Ram Singla,Indian National Congress,"10,30,107","2,44,389",23.7 %,"1,03,776",42.50%,1991
Patna,35,GEN,Bihar [1947 - 1999],Data Not Available,-,-,-,-,-,-,1991
Peddapalli,36,SC,Andhra Pradesh,G. Venkat Swamy,Indian National Congress,"10,97,835","5,21,843",47.5 %,"1,09,965",21.10%,1991
Perambalur,28,GEN,Tamil Nadu,Asokraj A.,All India Anna Dravida Munnetra Kazhagam,"9,34,168","6,60,356",70.7 %,"1,94,950",29.50%,1991
Periyakulam,25,GEN,Tamil Nadu,R. Ramasamy,All India Anna Dravida Munnetra Kazhagam,"10,11,909","6,24,469",61.7 %,"2,13,960",34.30%,1991
Phillaur,5,SC,Punjab,Santosh Chaudhary (W),Indian National Congress,"10,23,457","2,57,833",25.2 %,"5,784",2.20%,1991
Phulbani,15,GEN,Orissa,Mrutyunjaya Nayak,Indian National Congress,"9,55,122","4,88,136",51.1 %,"54,030",11.10%,1991
Phulpur,55,GEN,Uttar Pradesh [1947 - 1999],Ram Pujan Patel,Janata Dal,"9,65,688","4,61,594",47.8 %,"59,601",12.90%,1991
Pilibhit,13,GEN,Uttar Pradesh [1947 - 1999],Parashuram,Bharatiya Janta Party,"9,19,807","5,01,130",54.5 %,"6,923",1.40%,1991
Pollachi,21,GEN,Tamil Nadu,Rajaravivarma B.,All India Anna Dravida Munnetra Kazhagam,"9,63,590","6,50,030",67.5 %,"2,06,270",31.70%,1991
Pondicherry,1,GEN,Pondicherry,M.D.H. Farook,Indian National Congress,"5,93,305","4,01,741",67.7 %,"67,609",16.80%,1991
Ponnani,6,GEN,Kerala,Ebrahim Sulaiman Sait,Muslim Leage,"10,11,439","6,49,480",64.2 %,"95,706",14.70%,1991
Porbandar,5,GEN,Gujarat,Patel Hiralal Madhavjibhai,Bharatiya Janta Party,"8,53,096","3,67,430",43.1 %,"79,049",21.50%,1991
Pratapgarh,24,GEN,Uttar Pradesh [1947 - 1999],Abhai Pratap Singh,Janata Dal,"9,41,760","3,79,537",40.3 %,"3,696",1.00%,1991
Pudukkottai,32,GEN,Tamil Nadu,Sundararaj N.,Indian National Congress,"10,47,932","7,48,163",71.4 %,"2,19,721",29.40%,1991
Pune,42,SC,Maharashtra,Anna Joshi,Bharatiya Janta Party,"11,84,618","5,70,624",48.2 %,"16,938",3.00%,1991
Puri,8,SC,Orissa,Braja Kishore Tripathy,Janata Dal,"9,68,881","5,77,999",59.7 %,"38,957",6.70%,1991
Purnea,24,GEN,Bihar [1947 - 1999],Data Not Available,-,-,-,-,-,-,1991
Purulia,34,GEN,West Bengal,Chitta Ranjan Mahata,All India Forward Bloc,"9,14,959","6,72,089",73.5 %,"1,25,940",18.70%,1991
Quilon,18,GEN,Kerala,S. Krishna Kumar,Indian National Congress,"9,79,397","7,41,389",75.7 %,"27,727",3.70%,1991
Rae Bareli,23,GEN,Uttar Pradesh [1947 - 1999],Sheila Kaul (W),Indian National Congress,"9,62,155","4,69,015",48.8 %,"3,917",0.80%,1991
Raichur,3,GEN,Karnataka,Venkatesh Naik,Indian National Congress,"9,94,512","3,91,511",39.4 %,"1,22,458",31.30%,1991
Raiganj,5,GEN,West Bengal,Sybarta Mukerjee,Communist Party Of India (MARXIST),"10,16,789","7,63,113",75.1 %,"29,968",3.90%,1991
Raigarh,13,ST,Madhya Pradesh [1947 - 1999],Pushpadevi Singh (W),Indian National Congress,"8,39,641","3,74,131",44.6 %,"55,814",14.90%,1991
Raipur,17,GEN,Madhya Pradesh [1947 - 1999],Vidyacharan Shukla,Indian National Congress,"9,12,981","4,25,524",46.6 %,959,0.20%,1991
Rajahmundry,8,GEN,Andhra Pradesh,K.V.R. Chowdary,Telugu Desam,"9,73,272","6,27,882",64.5 %,"62,009",9.90%,1991
Rajampet,22,GEN,Andhra Pradesh,Annaiahgari Saiprathap,Indian National Congress,"9,47,340","5,73,063",60.5 %,"1,62,294",28.30%,1991
Rajapur,1,ST,Maharashtra,Sudhir Sawant,Indian National Congress,"7,55,126","3,69,137",48.9 %,"43,046",11.70%,1991
Rajgarh,32,GEN,Madhya Pradesh [1947 - 1999],Digvijay Singh,Indian National Congress,"9,13,839","4,60,034",50.3 %,"1,470",0.30%,1991
Rajkot,4,GEN,Gujarat,Shivlalbhai Veraria,Bharatiya Janta Party,"11,22,841","5,30,530",47.3 %,"54,860",10.30%,1991
Rajmahal,26,ST,Bihar [1947 - 1999],Simon Marandi,Jharkhand Mukti Morcha,"8,34,508","4,69,610",56.3 %,"32,664",7.00%,1991
Rajnandgaon,22,GEN,Madhya Pradesh [1947 - 1999],Shivendra Bahadur Singh,Indian National Congress,"8,40,310","3,90,737",46.5 %,"47,410",12.10%,1991
Ramanathapuram,34,GEN,Tamil Nadu,Rajeshwaran V.,Indian National Congress,"10,29,957","6,13,762",59.6 %,"1,71,526",27.90%,1991
Rampur,8,GEN,Uttar Pradesh [1947 - 1999],Rajendra Kumar Sharma,Bharatiya Janta Party,"9,79,613","5,58,369",57.0 %,"49,809",8.90%,1991
Ramtek,22,ST,Maharashtra,Bhonsle Tejsingharao Laxmanrao,Indian National Congress,"9,14,252","4,38,350",48.0 %,"1,37,954",31.50%,1991
Ranchi,49,GEN,Bihar [1947 - 1999],Ram Tahal Choudhary,Bharatiya Janta Party,"9,34,651","4,70,423",50.3 %,"1,19,577",25.40%,1991
Rasipuram,15,GEN,Tamil Nadu,Devarajan B.,Indian National Congress,"10,04,810","6,37,253",63.4 %,"2,72,985",42.80%,1991
Ratnagiri,2,GEN,Maharashtra,Govindram Nikam,Indian National Congress,"8,00,680","4,15,832",51.9 %,"12,928",3.10%,1991
Rewa,9,GEN,Madhya Pradesh [1947 - 1999],Bheem Singh Patel,Bahujan Samaj Party,"10,72,702","4,51,747",42.1 %,"14,316",3.20%,1991
Robertsganj,53,SC,Uttar Pradesh [1947 - 1999],Ram Nihore,Janata Dal,"10,44,748","4,24,706",40.7 %,"28,017",6.60%,1991
Rohtak,5,GEN,Haryana,Bhupender Singh,Indian National Congress,"9,19,868","5,64,886",61.4 %,"30,573",5.40%,1991
Ropar,7,GEN,Punjab,Harchand Singh,Indian National Congress,"10,57,142","1,51,831",14.4 %,"63,570",41.90%,1991
Rosera,16,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janata Dal,"9,66,971","6,10,619",63.2 %,"2,60,484",42.70%,1991
Sabarkantha,15,GEN,Gujarat,Arvind Trivedi (LANKESH),Bharatiya Janta Party,"9,44,583","3,57,736",37.9 %,"36,418",10.20%,1991
Sagar,5,SC,Madhya Pradesh [1947 - 1999],Anand Ahirwar,Indian National Congress,"9,11,505","3,76,907",41.4 %,"9,348",2.50%,1991
Saharanpur,84,GEN,Uttar Pradesh [1947 - 1999],Rashed Masood,Janata Dal,"9,65,458","6,12,731",63.5 %,"18,342",3.00%,1991
Saharsa,20,GEN,Bihar [1947 - 1999],Surya Narain Yadav,Janata Dal,"10,62,094","7,72,419",72.7 %,"1,98,108",25.60%,1991
Saidpur,49,SC,Uttar Pradesh [1947 - 1999],Rajnath Sonkar Shastri,Janata Dal,"10,30,523","4,25,504",41.3 %,"16,435",3.90%,1991
Salem,16,GEN,Tamil Nadu,Rangarajanm Kumaramangalam,Indian National Congress,"10,30,128","6,29,493",61.1 %,"2,82,568",44.90%,1991
Salempur,42,GEN,Uttar Pradesh [1947 - 1999],Harikewal,Janata Dal,"10,01,946","4,95,037",49.4 %,"44,567",9.00%,1991
Salumber,17,GEN,Rajasthan,Bheru Lal Meena,Indian National Congress,"9,25,387","4,31,149",46.6 %,"69,858",16.20%,1991
Samastipur,17,GEN,Bihar [1947 - 1999],Manjay Lal,Janata Dal,"10,82,788","7,13,698",65.9 %,"2,39,032",33.50%,1991
Sambalpur,17,GEN,Orissa,Krupasindhu Bhoi,Indian National Congress,"9,99,900","5,12,162",51.2 %,"35,318",6.90%,1991
Sambhal,9,GEN,Uttar Pradesh [1947 - 1999],Sri Pal Singh,Janata Dal,"8,66,398","4,83,850",55.9 %,"1,705",0.40%,1991
Sangli,46,GEN,Maharashtra,Patil Prakashbapu Vasantrao,Indian National Congress,"9,18,893","4,85,913",52.9 %,"2,07,680",42.70%,1991
Sangrur,10,GEN,Punjab,Gurcharan Singh Dadahoor,Indian National Congress,"9,56,817","1,04,269",10.9 %,"5,298",5.10%,1991
Sarangarh,16,SC,Madhya Pradesh [1947 - 1999],Paras Ram Bharadwaj,Indian National Congress,"9,22,304","3,62,726",39.3 %,"45,012",12.40%,1991
Sasaram,38,SC,Bihar [1947 - 1999],Chhedi Paswan,Janata Dal,"9,76,765","4,80,393",49.2 %,"22,562",4.70%,1991
Satara,44,GEN,Maharashtra,Bhosale Prataprao Baburao,Indian National Congress,"9,31,856","3,98,204",42.7 %,"1,59,212",40.00%,1991
Satna,8,GEN,Madhya Pradesh [1947 - 1999],Arjun Singh,Indian National Congress,"9,85,756","4,85,858",49.3 %,"66,251",13.60%,1991
Sawai Madhopur,11,ST,Rajasthan,Kunjilal,Bharatiya Janta Party,"10,52,967","4,43,957",42.2 %,"17,226",3.90%,1991
Secunderabad,31,GEN,Andhra Pradesh,Bandaru Dattatraya,Bharatiya Janta Party,"11,83,787","5,33,666",45.1 %,"85,063",15.90%,1991
Seoni,26,GEN,Madhya Pradesh [1947 - 1999],Vimla Verma (W),Indian National Congress,"9,05,419","4,15,847",45.9 %,"55,558",13.40%,1991
Serampore,26,GEN,West Bengal,Sudarsan Roy Chowdhury,Communist Party Of India (MARXIST),"11,21,057","8,10,618",72.3 %,"44,497",5.50%,1991
Shahabad,16,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Pathak,Bharatiya Janta Party,"8,88,168","4,38,290",49.4 %,"31,135",7.10%,1991
Shahdol,11,ST,Madhya Pradesh [1947 - 1999],Dalbir Singh,Indian National Congress,"9,47,840","3,37,740",35.6 %,"43,296",12.80%,1991
Shahjahanpur,14,GEN,Uttar Pradesh [1947 - 1999],Satya Pal Singh Yadav (SIWARA),Janata Dal,"9,47,741","5,07,063",53.5 %,"13,316",2.60%,1991
Shajapur,33,SC,Madhya Pradesh [1947 - 1999],Phoolchand Verma,Bharatiya Janta Party,"9,58,278","4,76,586",49.7 %,"78,248",16.40%,1991
Sheohar,12,GEN,Bihar [1947 - 1999],Hari Kishore Singh,Janata Dal,"9,65,641","6,52,419",67.6 %,"1,59,936",24.50%,1991
Shillong,1,ST,Meghalaya,Peter G. Marbaniang,Indian National Congress,"5,88,902","3,03,271",51.5 %,"19,390",6.40%,1991
